"","type","name","lat","lon"
"353","station","Devoe St & Leonard St",40.71348658,-73.94792458
"354","station","Roebling St & N 4 St",40.71469,-73.95739
"355","station","Graham Ave & Conselyea St",40.715143,-73.944507
"356","station","Metropolitan Ave & Meeker Ave",40.71413311,-73.95234386
"357","station","Union Ave & Jackson St",40.7160751,-73.952029
"358","station","Leonard St & Meeker Ave",40.7173184038558,-73.9482021331787
"359","station","N 8 St & Driggs Ave",40.71774592,-73.95600096
"360","station","Frost St & Meeker St",40.71764,-73.94882
"361","station","Berry St & N 8 St",40.7190095,-73.95852515
"362","station","N 6 St & Bedford Ave",40.71745169,-73.95850939
"363","station","Graham Ave & Withers St",40.7169811,-73.94485918
"364","station","Graham Ave & Herbert St",40.71929301,-73.94500379
"365","station","Union Ave & N 12 St",40.71924,-73.95242
"366","station","Leonard St & Bayard St",40.71928,-73.94861
"367","station","Leonard St & Manhattan Ave",40.721522403393,-73.948982656002
"368","station","Nassau Ave & Newell St",40.7248125644002,-73.947526216507
"369","station","N 12 St & Bedford Ave",40.72079821,-73.95484712
"370","station","Driggs Ave & Lorimer St",40.72179134,-73.9504154
"371","station","N 11 St & Wythe Ave",40.72153267,-73.95782357
"372","station","N 15 St & Wythe Ave",40.724055,-73.955736
"373","station","Driggs Ave & N Henry St",40.72325,-73.94308
"374","station","Bedford Ave & Nassau Ave",40.72311651,-73.95212324
"375","station","Nassau Ave & Russell St",40.72557,-73.94434
"376","station","Banker St & Meserole Ave",40.72606,-73.95621
"377","station","Meserole Ave & Manhattan Ave",40.72708584,-73.95299117
"378","station","Norman Ave & Leonard St",40.7258483,-73.95064893
"379","station","Milton St & Franklin St",40.72906,-73.95779
"380","station","Greenpoint Ave & Manhattan Ave",40.73026,-73.95394
"381","station","India St & East River",40.73165141,-73.96161892
"382","station","India St & Manhattan Ave",40.73232194,-73.9550858
"383","station","Huron St & Franklin St",40.73266,-73.95826
"384","station","Franklin St & Dupont St",40.73564,-73.95866
"385","station","McGuinness Blvd & Eagle St",40.73555,-73.95284
"386","station","Vernon Blvd & 50 Ave",40.74232744,-73.95411749
"387","station","Center Blvd & Borden Ave",40.74161,-73.96044
"388","station","Jackson Ave & 46 Rd",40.74524768,-73.94733276
"389","station","48 Ave & 5 St",40.7443632870669,-73.9558732509613
"390","station","31 St & Thomson Ave",40.74469738,-73.93540375
"391","station","46 Ave & 5 St",40.74731,-73.95451
"392","station","45 Rd & 11 St",40.74708586,-73.94977234
"393","station","44 Dr & Jackson Ave",40.74718234,-73.9432635
"394","station","9 St & 44 Rd",40.74966,-73.9521
"395","station","21 St & 43 Ave",40.75052534,-73.94594845
"396","station","Queens Plaza North & Crescent St",40.75110165,-73.94073717
"397","station","E 68 St & 3 Ave",40.7671284034954,-73.9622461795807
"398","station","E 59 St & Madison Ave",40.76350532,-73.97109243
"399","station","3 Ave & E 62 St",40.76312584,-73.96526895
"400","station","E 75 St & 3 Ave",40.77112927,-73.95772297
"401","station","5 Ave & E 73 St",40.77282817,-73.96685276
"402","station","E 72 St & Park Ave",40.7711828754066,-73.9640942215919
"403","station","1 Ave & E 78 St",40.77140426,-73.9535166
"404","station","1 Ave & E 68 St",40.76500525,-73.95818491
"405","station","1 Ave & E 62 St",40.7612274,-73.96094022
"406","station","5 Ave & E 78 St",40.7768286343997,-73.9638876914978
"407","station","E 81 St & Park Ave",40.77677702,-73.9590097
"408","station","E 84 St & Park Ave",40.77862688,-73.95772073
"409","station","E 81 St & 3 Ave",40.77573034,-73.9567526
"410","station","E 85 St & 3 Ave",40.77801203,-73.95407149
"411","station","E 84 St & 1 Ave",40.77565541,-73.95068615
"412","station","E 85 St & York Ave",40.77536905,-73.94803392
"413","station","E 81 St & York Ave",40.7728384,-73.94989233
"414","station","3 Ave & E 71 St",40.76873687,-73.96119945
"415","station","E 71 St & 2 Ave",40.7681754674225,-73.9591026306152
"416","station","Lexington Ave & E 63 St",40.76440023,-73.96648977
"417","station","E 72 St & York Ave",40.76663814,-73.95348296
"418","station","East End Ave & E 86 St",40.77518615,-73.94446054
"419","station","W 63 St & Broadway",40.77163851,-73.98261428
"420","station","W 67 St & Broadway",40.77492513,-73.98266566
"421","station","Central Park West & W 76 St",40.77896784,-73.97374737
"422","station","W 76 St & Columbus Ave",40.7801839724239,-73.9772853255272
"423","station","W 78 St & Broadway",40.78339981,-73.98093133
"424","station","Central Park West & W 68 St",40.7734066,-73.97782542
"425","station","Columbus Ave & W 72 St",40.7770575,-73.97898475
"426","station","Central Park West & W 72 St",40.7757937668367,-73.9762057363987
"427","station","Riverside Dr & W 72 St",40.7805779901033,-73.9856243133545
"428","station","Amsterdam Ave & W 73 St",40.7796680900731,-73.9809304475784
"429","station","Central Park West & W 85 St",40.78472675,-73.96961715
"430","station","Riverside Dr & W 82 St",40.78720869,-73.98128127
"431","station","W 84 St & Columbus Ave",40.78499979,-73.97283406
"432","station","Amsterdam Ave & W 82 St",40.78524672,-73.97667321
"433","station","W 74 St & Columbus Ave",40.7785669,-73.97754961
"434","station","Riverside Blvd & W 67 St",40.777507027548,-73.9888858795166
"435","station","W 70 St & Amsterdam Ave",40.77748046,-73.98288594
"436","station","W 64 St & West End Ave",40.77452835,-73.98753759
"437","station","W 84 St & Broadway",40.7867947,-73.977112
"438","station","Riverside Dr & W 78 St",40.78414472,-73.98362492
"439","station","Park Ave & Marcus Garvey Blvd",40.698617,-73.941342
"440","station","Brooklyn Bridge Park - Pier 2",40.69878,-73.99712
"441","station","Exchange Place",40.7162469,-74.0334588
"442","station","Paulus Hook",40.7141454,-74.0335519
"443","station","City Hall",40.7177325,-74.043845
"444","station","Grove St PATH",40.7194610944355,-74.0429431200027
"445","station","Warren St",40.7211236,-74.03805095
"446","station","NJCU",40.7101087,-74.0858489
"447","station","West Side Light Rail",40.714402,-74.0887723
"448","station","Garfield Ave Station",40.7104670233797,-74.0700387954712
"449","station","Union St",40.7182113,-74.0836394
"450","station","Liberty Light Rail",40.7112423,-74.0557013
"451","station","Lincoln Park",40.7246050998869,-74.0784059464931
"452","station","McGinley Square",40.7256033,-74.06763
"453","station","Sip Ave",40.7309459,-74.0638906
"454","station","Riverview Park",40.7443187,-74.0439909
"455","station","North St",40.752559,-74.044725
"456","station","Heights Elevator",40.7487159453802,-74.0404433012009
